,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,
04:00 - 00:00,Cekis,"001.506","001.291","001.228","001.333","001.777","001.135","001.120","000.866","001.039","000.980","000.648","000.662","000.690","000.884","001.091","001.334","001.208","001.000","000.885","000.813","000.877","000.990","000.943","000.813","000.996","000.802","000.632","000.597","000.599","000.614","000.484",
04:00 - 00:15,Veris," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000",
04:00 - 00:15,Cekis,"001.494","001.291","001.208","001.301","001.757","001.134","001.077","000.867","001.039","000.981","000.635","000.661","000.691","000.810","001.090","001.333","001.209","000.967","000.888","000.812","000.811","000.989","000.881","000.813","000.996","000.748","000.632","000.597","000.600","000.673","000.460",
04:00 - 00:30,Veris," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000",
04:00 - 00:30,Cekis,"001.491","001.265","001.204","001.284","001.749","001.134","001.070","000.867","001.016","000.980","000.631","000.662","000.691","000.795","001.087","001.332","001.209","000.968","000.888","000.812","000.809","000.990","000.881","000.814","000.995","000.744","000.632","000.596","000.600","000.685","000.457",
04:00 - 00:45,Veris," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000",
04:00 - 00:45,Cekis,"001.490","001.262","001.205","001.283","001.750","001.134","001.071","000.866","001.011","000.980","000.631","000.644","000.691","000.796","001.081","001.332","001.209","000.968","000.887","000.812","000.811","000.990","000.881","000.813","000.991","000.744","000.631","000.596","000.600","000.673","000.456",
05:00 - 00:00,Veris," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000",
05:00 - 00:00,Cekis,"001.490","001.261","001.204","001.283","001.748","001.133","001.071","000.867","001.010","000.976","000.631","000.637","000.691","000.795","001.076","001.330","001.208","000.968","000.888","000.802","000.810","000.990","000.882","000.813","000.991","000.744","000.631","000.596","000.599","000.642","000.455",
05:00 - 00:15,Veris," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000",
